premise,hypothesis,gold_label,predicted_label
that doesn't seem fair does it,That might possibly be fair.,contradiction,entailment
"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",I was bored on my last day in Louisian.,entailment,entailment
GAO's prior work on best practices covers achieving the first knowledge point.,GAO's past work talks about achieving the first knowledge point.,entailment,entailment
oh i'll bet they did,I'm bet they did after getting into trouble. ,neutral,neutral
because otherwise it's too it gets if you start them when it's cooler in the spring then it gets too hot in the summer,It will get too hot in the summer if you start them in the spring.,entailment,entailment
You wonder whether he could win a general election coming out of the right lane of the Democratic Party.,He might run in a general election for governor while he is a conservative Democrat.,neutral,neutral
"You can find Manchester, Sheffield, and Cambridge in Jamaica, to name but three.","Cambridge, Manchester and Sheffield are all in Jamaica. ",entailment,neutral
"Sultan Abdul Hamid II (1876 1909) tried to apply absolute rule to an empire staggering under a crushing foreign debt, with a fragmented population of hostile people, and succeeded only in creating ill will and dissatisfaction amongst the younger generation of educated Turks.","The population was fractured during the rule of Sultan Adbul Hamid II, and many people were hostile to his rule.",entailment,entailment
Local residents will tell you where to find them.,There are local tour guides to help you find them.,neutral,neutral
"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,entailment,entailment
"I regretfully acknowledge that it may even make practical sense to have a few hired guns like Norquist, Downey, and Weber around--people of value only for their connections to power, not for any knowledge or talent.",It might be safer if we have hired guns to protect us.,neutral,entailment
they they are good,They're excellent.,entailment,entailment
but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,neutral,entailment
"Each individual's survival curve, or the probability of surviving beyond a given age, should shift as a result of an environmental quality improvement.",Environmental quality should shift everyone's survival curve.,entailment,entailment
For the first time I entertained the idea of taking my talents to that particular market… .,"I had thought of doing it many times, but I knew I would fail.",contradiction,entailment
From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,contradiction,contradiction
um-hum  right do where are you at what state,What state are you at?,entailment,entailment
"In April 1453 the Sultan's armies massed outside the city walls, outnumbering the Byzantines ten to one.",There were ten times as many of the Sultan's armies than Byzantines.,entailment,entailment
"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This engineering task won't be very difficult to complete.,contradiction,contradiction
"For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.",A super-vaccine was being developed to be given to everyone in attendance at the world championships.,entailment,entailment
"But Japan was reluctant to sue for peace because the Allies were demanding unconditional surrender with no provision for maintaining the highly symbolic role of the emperor, still considered the embodiment of Japan's spirit and divine origins.",The Allies didn't care about peace.,neutral,neutral
in Asia yeah i spent,"In Asia, yeah, I spent 3 years",neutral,entailment
"A fine Crusader arch leads down a dimly-lit broad stairway to the dark subterranean Church of the Assumption, a Greek Orthodox church.",The Church of the Assumption is located underground through a Crusader arch.,entailment,neutral
"The Fray's reputation as a home for hostile, rude, and mean-spirited exchanges suffered a severe beating at the hands of the Reading thread, which was so civilized that participants suggested taking insulin shots afterward.","The Fray is known as a hostile, rude, and mean place.",entailment,entailment
They should have him be just a disembodied voice.,"To be more effective with children, he should never be seen.",neutral,neutral
Friendly staff.,The staff is friendly only when you give them tips.,neutral,contradiction
Adrin heard of a young king in the south who fought against slavers and had an ivory skinned raven-haired swordswoman at his side.,Adrin really wanted to meet the young king.,neutral,neutral
i've yeah i've done it before and when i was in high in high school and college and thoroughly enjoyed it and and it's really a a blast my wife hates it but that's the way life is i guess,I would like to do it again. ,neutral,neutral
'No one in Large would ever try to harm us.,Not a single person in Large would have the intentions of hurting us.,entailment,entailment
oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,neutral,entailment
and uh my daughter gets irate when i when i do that because you know she's a teenager,My daughter's a teenager and so she gets mad whenever I do that.,entailment,entailment
"We need to be sure of our going."" But Tuppence, for once, seemed tongue-tied.",Tuppence couldn't speak.,entailment,entailment
"It doesn't seem expensive--they use it in Bangladesh, after all.",That's one of the most expensive options.,contradiction,entailment
"You wonder what youre going to be when you grow up, lawyer Smith said. ","The lawyer, Smith, pointed out that you wanted to know what you would be when you grew up.",entailment,entailment
"A newly unified Christian Spain under the Catholic Monarchs, Ferdinand and Isabella, completed the Reconquest, defeating the only Moorish enclave left on the Iberian peninsula, Granada, in 1492.",The last Moorish enclave was defeated in 1492.,entailment,neutral
allow the efficiencies of a low-cost mailstream to be available to all who can use them.,Everyone loves using the USPS.,neutral,neutral
"It features over 50 outlets for discounted designer fashions, from Armani to DKNY.",It's discount name designer outlet stores are very popular.,neutral,neutral
yeah maybe the maybe they'll bring their good schools with them  you know if the industry comes,"Maybe if the industry comes, they will build good schools here.",entailment,entailment
Exhibitions are often held in the splendid entrance hall.,The entrance hall is often used to host exhibitions.,entailment,entailment
well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We're going to run out of land space soon.,entailment,entailment
yeah that's a nice place,It's a location I enjoy being at. ,entailment,neutral
"On the northern slopes of this rocky outcropping is the site of the ancient capital of the island, also called Thira, which dates from the third century b.c. (when the Aegean was under Ptolemaic rule).","The ancient capital of the island is called Thira, and dates back to the third century b.c.",entailment,entailment
"Like the Japanese, Chinese, and Portuguese before them, many of the new peoples would stay on in Hawaii, adding to the ethnic and racial mix that has become a hallmark of the islands.",Hawaii became very diverse.,entailment,entailment
Cabourg is the most stately of the old Channel resorts.,"Of all the resorts in the old Channel, Cabourge is by far the most impressive and stately.",entailment,entailment
yes well yeah i am um actually actually i think that i at the higher level education i don't think there's so much of a problem there it's pretty much funded well there are small colleges that i'm sure are struggling,Small colleges never have any troubles or challenges.,contradiction,contradiction
more of a football powerhouse up there i guess,He's terrible at football there.,contradiction,contradiction
"It's easy to overdose on the many temples, palaces, and museums in India.",There is a wide selection of temples and palaces in India.,entailment,entailment
"'Don't worry,' he whispered.",He was very calm and said not to worry.,entailment,entailment
"Around the year 1400, fighting over the island of Singapore drove the Srivijaya prince Parameswara to seek refuge up the peninsula coast with his orang laut pirate friends in their small fishing village of Melaka.",There was fighting over Singapore.,entailment,entailment
Oh yeah? San Barenakedino? How's he? Clarisse and Onardo both asked.,Clarisse and Onardo don't care how San Barenakedino is doing.,contradiction,contradiction
"It is the official solution, Liq. ",This is officially the solution.,entailment,entailment
"The good news, however, can be found in reports like this one.",The good news is that the puppy's life was able to be saved. ,neutral,neutral
"Do you know what this is?"" With a dramatic gesture she flung back the left side of her coat and exposed a small enamelled badge.",She was not wearing a coat during the time.,contradiction,contradiction
Other examples of cumulative case studies come from two international agencies.,"There are no examples of case studies, so it is a new territoriy.",contradiction,contradiction
And the trunk? Big? Mother asked again to keep up appearances.,"Mother, trying to be humble, asked if the trunk was small.",contradiction,contradiction
2) This particular instance of it stinks.,This instance stinks. ,entailment,entailment
From his second sight Jon saw San'doro grappling with a much larger man.,San'doro was fighting.,entailment,neutral
Many who fled have returned.,They all ran and never looked back.,contradiction,contradiction
so who so if you go out and you're talking like a ten or fifteen thousand dollar vehicle and you add that sales tax on that's a that's a big chunk of change you have to come up with,The sales tax would really drive the price of the car up.,entailment,entailment
[I]n You're the Top Porter does not capitalize on the text's potential for realism.,You're the Top Porter intentionally ignored the potential for realism. ,neutral,neutral
The bridge would work for a very short time but the stream isn't a clear defense.,There were too many enemies to use the bridge for long.,neutral,neutral
"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were fragile and could not leave a scratch. ,contradiction,contradiction
"Flanked with patches of forest leading up into the foothills of the Himalayas, the flat plain stretches right across to the Bay of Bengal 1,600 km (1,000 miles) away, but some areas are kept as nature reserves for the country's wildlife, notably its tigers, leopards, and elephants.",The people of the Himalayas and Bay of Bengal aren't concerned about reserving nature.,contradiction,contradiction
Practice 16: Be Alert to New Monitoring Tools and Techniques,Practice 16 is to require secure passwords.,contradiction,neutral
They proclaimed Japan's mission to bring progress to its backward Asian neighbors in language not so very different from that of the Europeans in Africa or the US in Latin America.,Japan had no intention of progressing its Asian neighbors in the area of language.,contradiction,contradiction
She didn't listen.,She did not listen to the noise.,neutral,entailment
"Founded in 1979, AFFIRM's members include information resource management professionals within the federal, academic, and industry sectors.",AFFIRM was founded in the year 1979 and includes many professional members.,entailment,entailment
"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This engineering task won't be very difficult to complete.,contradiction,contradiction
"Participants suggested the need for a new reporting model for auditing, a renewed focus on the quality of auditing, and building more effective working relationships with the audit committee.",Participants wanted a new auditing model and a focus on quality.,entailment,entailment
"So, as he and Tipper walked out, my friend and I were right behind them, and I took the opportunity to say hello and reintroduce myself--as a journalist, I might add--and we chatted about the movie for a few minutes.","I wish I had seen Tipper, but I didn't get to.",contradiction,neutral
"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar.",The British built luxury houseboats on the lakes near Srinagar in the 19th century.,entailment,entailment
"The girls who wish to wear the scarf in Turkey say it represents Muslim female empowerment, and they consider themselves oppressed if it's forbidden.",There are women in Turkey who prefer to wear the scarf.,entailment,entailment
"Yes, sir.",They could never say no.,neutral,entailment
One 23-year-old White House assistant was interrogated about a triple murder that took place at a Starbucks in Georgetown.,It was between a barista and an unhappy customer,neutral,contradiction
Another quarter billion plus dollars of the total amount sought was earmarked to pay down operating debt accrued in past years.,Another quarter billion dollars or more was earmarked to pay down debt.,entailment,entailment
"I can FEEL him.""",I know he is near by.,neutral,entailment
and my and my part-time work you know it's not our the restaurant our favorite restaurant in the town of Salisbury where actually we live you know where my where i'll return to my job or whatever we can normally eat out for um under fourteen dollars,My first part time job was in a restaurant in Salisbury where you could eat out for under $14.,neutral,entailment
"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",There are no maps available of the hiking trails.,contradiction,contradiction
One 23-year-old White House assistant was interrogated about a triple murder that took place at a Starbucks in Georgetown.,No one from the White Hosue was interrogated regarding the murders.,contradiction,contradiction
"If the company makes money on the policy, other insurers are expected to follow.",If the company loses money on the policy then other insurers will copy them. ,contradiction,contradiction
 He found himself thinking in circles of worry and pulled himself back to his problem.,He could not afford to get distracted from his problem.,neutral,neutral
"On a spur-road just a little north of the sleepy village of Anse-Bertrand is the Anse Laborde, a public beach of tan sand with gorgeous turquoise waters and good snorkeling off rocky promontories.",The water at Anse Labord is a murky green with no aesthetic or ecological features.,contradiction,contradiction
Agreed-upon  Auditors perform testing to issue a report of findings based on specific procedures performed on subject matter.,Some auditors perform tests to issue findings based on certain circumstances.,entailment,contradiction
But Fish is not an upbeat pragmatist.,Fish is an upbeat pragmatist. ,contradiction,entailment
yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head,"The action was pretty unrealistic, none of the real world implications seemed to be taken into consideration.",-,neutral
What and who will they tax?,"They will tax many people, but whom?",neutral,entailment
These runs could cost far more than the value of the small improvement in service.,The runs are small compared to the improvement in service.,contradiction,contradiction
and ancient coins,And really new coins.,contradiction,contradiction
apparently apparently the appraisers likes it because our taxes sure is high  isn't it it really is,The appraiser did not like it one bit.,contradiction,contradiction
to see this kind of thing and you know if you can do any any little bit it helps so,"To see this kind of thing is bad, don't contribute to it at all if you can.",contradiction,contradiction
"Most of the dances are suggestive of ancient courtship rituals, with the man being forceful and arrogant, the woman shyly flirtatious.",The dances have an equal number of male and female dancers.,neutral,contradiction
Some bugs are hell to track down.,Bugs are always easy to catch.,contradiction,contradiction
I never said you were a mandrake-man.,I never once said or implied you were a mandrake.,entailment,entailment
Transforming Control of Public Health Programs Raises Concerns (,The health program transformation is bad. ,neutral,neutral
away from the children,No adults allowed near the children,neutral,entailment
"67 through .67d, provide a mechanism for limiting the issues on which a trial-type hearing is required; allow the Postal Service to explain the unavailability of data that would otherwise have to be filed; and provide for data collection for the duration of the experiment.",67 through .67d provide mechanism for limiting issue on which trial-type hearing is required allowing postal service to explain unavailability of the data due to guard dogs.,neutral,entailment
And she came to you?,The person asked if the woman came to him.,entailment,entailment
"The formation of a single statewide program was adopted to breathe life into a single program that will provide meaningful access to high quality legal services, in the pursuit of justice for as many low-income people throughout Colorado as possible.",The state has decided to divide its legal assistance services into several programs.,contradiction,contradiction
"Relationship Between Quality of Life Instruments, Health State Utilities, and Willingness to Pay in Patients with Asthma.","The relationship between quality of life instruments, health state utilities and willingness to pay patients with asthma. ",entailment,entailment
"Still, I guess that can be got over.",I suppose you can get over that.,entailment,entailment
that would be good what'd you say,That would be horrendous. ,contradiction,contradiction
(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31,Frequent flyer miles are one of the promotional items a member can receive.,neutral,neutral
"The editors, for their part, arrange to have them all written just in case I do.",The editors make sure they all get written in case of contingencies.,entailment,entailment
"Today, nothing remains except the foundations.",The foundations were replaced.,contradiction,contradiction
"Lalley also is enthused about other bar efforts on behalf of the poor, most notably the Legal Assistance Center will operate out of the new courthouse.",The Legal Assistance Center will keep offering its services from its current location.,contradiction,contradiction
"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",The cost of work and the value of improved service would be considered in this situation.,entailment,entailment
"His vigorous strides soon enabled him to gain upon them, and by the time he, in his turn, reached the corner the distance between them was sensibly lessened.","He walked quickly after them, having gained considerably upon rounding the corner.",entailment,entailment
oh of course,Of course not,contradiction,contradiction
"Despite protests by preservationists, there was little alternative.",The oil pipeline caused an uproar from the environmental preservationalists.,neutral,neutral
Another unit was added on to the communal dwelling each time a marriage created a new family.,Nothing happens when a marriage creates a new family.,contradiction,contradiction
"It lacked intelligence, introspection, and humor--it was crass, worthy of Cosmopolitan or Star . I do have a sense of humor, but can only appreciate a joke when it starts with a grain of truth.",The article was written in a crass manner.,entailment,entailment
do you really romance,Are you just friends?,-,contradiction
"Back to the subject of celebrity interviews, British magazines have published a huge number with actress Kate Winslet, the star of Titanic , to promote a new British film she has made.",British magazines interviewed Kate Winslet a lot.,entailment,entailment
"Under the overmechanical assumptions of affirmative-action opponents themselves (and putting aside the racial IQ theories of Murray and some others), blacks would move up the list, and whites would move down.",The assumptions of affirmative action opponents are overly mechanical.,entailment,entailment
Hatch : Muslims treat Moses as a great prophet.,The Muslims honor Moses more than anyone else.,neutral,neutral
what was the problem,i know exactly what the problem is.,contradiction,contradiction
"To provide a useful perspective on how alternative levels of national saving affect future living standards, we also compared our simulation results to a historical benchmark.",National saving affect living standards according to our simulation results and a historical data set.,entailment,neutral
Poirot remained lost in thought for a few minutes. ,Poirot had trouble remaining focused.,-,neutral
Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.,Professor Rogers has always been a clerk to him.,contradiction,neutral
"If ancient writings give only a romanticized view, they do offer a more precise picture of Indo-Aryan society.",Ancient writings don't show an accurate picture of Indo-Anryan society.,entailment,contradiction
"I found her leaning against the bannisters, deadly pale. ",She looked very vibrant as she stood next to the banister.,contradiction,contradiction
The standard technology assumptions of scenario A were used by EIA in the development of the AEO2001 reference case projections.,EIA used the standard technology assumptions to develop the AEO2001 reference case projections for the post office.,neutral,neutral
"Kutchins and Kirk cite a particularly amusing example of such  Robert Spitzer, the man in charge of DSM-III , was sitting down with a committee that included his wife, in the process of composing a criteria-set for Masochistic Personality Disorder--a disease that was suggested for, but never made it into, the DSM-III-R (a revised edition).",Robert Spitzer's work was unknown to Kutchins and Kirk.,contradiction,neutral
"As recent events illustrate, trust takes years to gain but can be lost in an instant.",Lying or spreading bad information is the fastest way to lose trust.,neutral,neutral
The great breathtaking Italian adventure remains the road.,The road remains the Italy people want to see. ,entailment,neutral
and uh as a matter of fact he's a draft dodger,He avoided the military draft of 1943 when the need was highest.,neutral,entailment
yes i've had a German Shepherd that did that one time,I have never had a pet dog in my entire life.,contradiction,contradiction
Or anything else you wanted and couldn't keep against magic.,Magic had little power. ,contradiction,contradiction
A federal employment training program can report on the number of participants.,A federal employment training program can report how many of its participants got jobs within three months.,neutral,neutral
Exhibitions are often held in the splendid entrance hall.,The entrance hall is often used to host exhibitions.,entailment,entailment
Ile de R??,Ille de R has been controversial in recent years.,neutral,neutral
well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be,We have plenty of space in the landfill.,contradiction,contradiction
"All-inclusive packages and large resort hotels offer restaurants, sporting activities, entertainment, wide-screen sports channels in the bars, shopping, and a guaranteed suntan.",You can get an all-inclusive package.,entailment,entailment
He was standing in front of a grey backdrop- somewhere that could be anywhere.,He stood in front of a backdrop.,entailment,entailment
well uh what do you think about taxes do you think we're paying too much,Do you think our taxes are too high?,entailment,entailment
"And, could it not result in a decline in Postal Service volumes across--the--board?",Nothing will affect Postal Service volumes across--the--board.,contradiction,contradiction
well UNLV they say UNLV may be the greatest amateur team ever,UNLV may be the greatest amateur baseball team ever.,neutral,neutral
did oh they're they are everywhere they,They spread out.,neutral,entailment
"All of our many earnest experiments produced results in line with random chance, they conclude.",The experiments proved that it was no different that random chance.,entailment,neutral
Agencies may perform the analyses required by sections 603 and 604 in conjunction with or as part of any other agenda or analysis required by other law if such other analysis satisfies the provisions of these sections.,The agency is free to decide not to perform the analyses covered in section 603.,contradiction,contradiction
"I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate.",I do not think that you understand the risks you are taking.,entailment,entailment
Seemingly endemic corruption was compounded by a remarkable dearth of political leadership and decisive action.,There is massive corruption in the political system.,entailment,neutral
"It was replaced in 1910 by the famous old pontoon bridge with its seafood restaurants, which served until the present bridge was opened in 1992.","The famous old pontoon bridge with its seafood restaurants, served from 1910 until 1992.",entailment,entailment
"In 1998, Cesar Chavez fasted for 36 days in California to underscore the dangers of pesticides to farm workers and their children.",Cesar Chavez was not concerned about the dangers of pesticide use.,contradiction,contradiction
"The results of even the most well designed epidemiological studies are characterized by this type of uncertainty, though well-designed studies typically report narrower uncertainty bounds around the best estimate than do studies of lesser quality.",All studies have the same amount of uncertainty to them.,contradiction,contradiction
i've even heard of some people being sexually abused,Some people are mentally abused.,neutral,contradiction
"Under the overmechanical assumptions of affirmative-action opponents themselves (and putting aside the racial IQ theories of Murray and some others), blacks would move up the list, and whites would move down.",Affirmative action opponents say that whites would move down the list.,entailment,entailment
"Jerusalem was divided into east and west, under the control of Jordan and Israel respectively.",Israel won the war and Jerusalem.,contradiction,neutral
CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,neutral,neutral
"To some critics, the mystery isn't, as Harris suggests, how women throughout history have exploited their sexual power over men, but how pimps like him have come away with the profit.",Harris suggests that it's a mystery how women have exploited men with their sexual power.,entailment,entailment
(It may resemble Dungeons &amp,It could never look like Dungeons and,contradiction,contradiction
He needs to keep his finger on the pulse to succeed during the short tourist season.,He needs to match what his customer want.,entailment,entailment
Do you think I should be concerned?,Do you believe I should be worried?,entailment,entailment
"Explanation building is the inverse  starting with the observations, the evaluator develops a picture of what is happening and why.",Observations are the last part of explanation building.,contradiction,contradiction
Bolts of blue and tips of steal.,The bolts were green.,contradiction,contradiction
" The equipment you need for windsurfing can be hired from the beaches at Tel Aviv (marina), Netanya, Haifa (at Bat Galim beach), Tiberias, and Eilat.",There is nowhere in Eilat where you can hire windsurfing equipment. ,contradiction,contradiction
yeah well my uh my uh probably one of the biggest decisions i think that was very strengthened for our family was rather than have one child make that decision,Our children played a huge role in making this decision. ,neutral,entailment
"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,contradiction,contradiction
"All of our many earnest experiments produced results in line with random chance, they conclude.",The experiments gave the same results as random chance.,entailment,neutral
oh you know i like what i'm doing right now,I find my current job enjoyable.,entailment,entailment
and the nurses aren't no see you have to pay that,You have to pay for that.,entailment,entailment
but you know they kids seem like when they get ten or twelve years old they fall out of that and and they don't follow it at all you know there're very few scouts go on and become Eagle Scouts and and i don't know what the high rank is for the gals but,All Boy Scouts go on to be Eagle Scouts.,contradiction,contradiction
"In addition, because funding is secured on an","In addition, because funding isn't secured on an",contradiction,contradiction
"The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.","The village is named after the explorer that landed on November 4, 1493.",entailment,contradiction
Built in a.d. 715 to help measure the peak and trough of the Nile flood.,It was built to bring water to the city.,contradiction,contradiction
"Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters.",Groups were formed to disband training around the state.,contradiction,contradiction
He'd gone a long way on what he'd found in one elementary book.,He never found anything in any elementary books.,contradiction,contradiction
There were maybe three hundred people present.,300 people were there.,entailment,entailment
if it had rained any more in the last two weeks instead of planting Saint Augustine grass in the front yard i think i would have plowed everything under and had a rice field,It has rained enough to flood everything here and make rice pattys.,entailment,contradiction
so uh listen i'll call Triple A uh auto club any time,At any time I would call Triple A.,entailment,entailment
"An ancient Greek trading post, the town manages to combine the atmosphere of a resort with a gutsy, bustling city life.",Prior to becoming a Greek trading post the town was thought to have been a Macedonian fishing village.,neutral,contradiction
Such parties may include,Parties don't include,contradiction,contradiction
"If the face has been getting longer at the bottom over the generations, it has been getting shorter (and broader) on top.",The face gets longer and thinner at the bottom throughout the generations.,neutral,contradiction
"McCalpinMaria Luisa Mercado Nancy H. Rogers Thomas F. Smegal, Jr.",Nancy Rogers is not listed.,contradiction,contradiction
You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.,You decide en route to turn west and walk instead.,neutral,neutral
"Ickes apparently made calls to donors from his government office, but there is no evidence so far that anyone else solicited funds in a federal building.",There is no evidence that anyone except Ickes solicited donations from the federal building.,entailment,entailment
A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.,the Henry Kaiser foundation shows that people like their healthcare,entailment,neutral
Accusations of corruption among officials in Rao's administration in 1995 also paved the way for a comeback.,"People accused Rao officials of corruption, which led to a comeback.",entailment,entailment
Hang it all! said Tommy indignantly.,Tommy was being indignant.,entailment,entailment
right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,Credit cards can be lifesavers in cases of an emergency.,neutral,neutral
Sir James's presence in Manchester was not accidental.,Manchester was not the place that Sir James had intended to go.,contradiction,neutral
"Most of it, I couldn't even begin to identify.",I didn't know what any of the food is.,neutral,entailment
"Most produce is locally grown, with some from the restaurant's own organic garden.",Most produce is local and some is grown inside the restaurant.,neutral,neutral
Hatch : Muslims treat Moses as a great prophet.,Moses is considered a prophet to the Muslims.,entailment,entailment
i don't even know how they figure it really i'm glad i don't work in a store,I'm happy that I don't work in a store.,entailment,entailment
"I shan't stop you.""",I will stop you.,contradiction,entailment
how do you like it well,"You probably hate it, don't you?",contradiction,contradiction
"[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",The woman did not recommend anyone read the book.,contradiction,neutral
This fellow is flying a hot air balloon and suddenly realizes he is lost.,This fellow is flying a hot air balloon and is lost.,entailment,entailment
Tommy was suddenly galvanized into life.,Tommy had been downcast for days.,neutral,contradiction
"The Throne Room is one of a series of apartments built during the reign of Charles II, though it was originally designed as a guard room that screened entrants to the private chambers beyond.",Charles II was the reigninh monarch when the Throne Room was built.,entailment,neutral
"Harlem was our first permanent office, he said. ",Harlem was the first permanent office ,entailment,neutral
"I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.","I feel that you do not underestimate the danger, and therefore I do not need to warn you.",contradiction,contradiction
"You claw your way into a position to get your calls returned by actually breaking stories, but that reward is empty.",The stories were featured on the front page of the paper.,neutral,contradiction
Tuppence seized the bell and Jane the knocker.,Tuppence and Jane did not go up to the door.,contradiction,contradiction
"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",The village of Moria contains the ruins of a massive Roman aqueduct.,entailment,entailment
The case law is a whole body unto itself.,"The case law is a whole body unto itself, because it perplexes some people. ",neutral,neutral
Cases in Comparative,Cases care not related to law.,neutral,contradiction
"Good-bye."" Julius was bending over the car.",Julius wouldn't leave the house.,contradiction,contradiction
"The great thing is to keep calm."" Julius groaned.",Julius was silent.,contradiction,contradiction
yeah yeah seven percent or something it depends on where you're at some places in Dallas i guess it's like closer to eight and places like in Lewisville it's a lot closer to seven,In Lewisville it is up around ten or so.,contradiction,contradiction
but we're taking our time we're going uh try to make our decision by July,We are in no rush to make a decision.,entailment,entailment
you'd be crazy if you trust them but anyway call it what is it McCarthyism no  i'm not like that i just got enough common sense that nope to you come repent make a world apology for all the wrongs that you've done and yeah we've done wrongs but we've not done near the atrocities they've done and we need to maybe do that also you know,I am glad we have opened up our borders and are offering help to our neighbors in need.,contradiction,neutral
i bet it was that they do that you know they they have kittens out there in the garage or out in the barn and the first time you try to get around the kittens you know it's you'd have to catch them with a uh a fish net or something because they scamper away so quick,The prey could be kittens themselves.,-,entailment
H-2A agricultural workers are required to maintain a foreign residence which they have no intention of abandoning.,Workers with foreign residences are not permitted to perform agricultural labor.,contradiction,contradiction
um-hum they keep you entertained they sure do we have a uh my wife's uh mother is uh oh about  seventy seven i guess she really gets a thrill when we go over to see her and bring the dog i think she's more happy to see the dog than she is us,We don't have a dog. ,contradiction,contradiction
"Perched on a steep slope, high in the Galilean hills, Safed (known also as Tzfat, Tsfat, Sefat, and Zefat) is a delightful village-town of some 22,000 people.",Safed is a village that goes by numerous other names.,entailment,neutral
", First-Class Mail used by households to pay their bills) and the household bill mail (i.e.",First-Class Mail is never used by households to pay their bills,contradiction,contradiction
"A politician connected with the home service of his parliamentary section's boss, with the mobile phone number 0-609-3459812, and known for his lack of sense of humor, did not take too well to a message from 'Admirer' - 'Wishes shovel best'.",He was so grateful to receive the message that he sent the sender a bunch of flowers.,contradiction,contradiction
They greeted her and she smiled shyly back.,She smiled at the group.,entailment,neutral
'I see.',It was clear,neutral,entailment
well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"The temperature is usually in the sixties all the time, it's constant.",contradiction,contradiction
It shows clearly enough that my poor old friend had just found out she'd been made a fool of!,I was sorry for my friend's predicament.,neutral,neutral
"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",The street is quite a luxurious one.,entailment,neutral
"Standard print film is available in many shops in the major towns, but serious shutterbugs will want to seek out one of the following photography stores for a full range of specialist film and Abbey Photographic, 25, Stramongate, Kendal LA9 4BH; Tel. (01539) 720-085, or The Photo Shop, North Road, Ambleside, Cumbria LA22 9 DT; Tel. (015394) 34375.",The Photo Shop has a greater variety of film than Abbey Photographic.,neutral,neutral
for a change i i got i get sick of winter just looking everything so dead i hate that,Winter is all year long.,neutral,contradiction
"In the short term, U.S. consumers will benefit from cheap imports (as will U.S. multinationals that use parts made in East Asian factories).",U.S. consumers and factories in East Asia benefit from imports.,entailment,entailment
I noticed that there was a long branch running out from the tree in the right direction.,I did not notice the long branch pointing in the right direction.  ,contradiction,contradiction
"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton was utilizing the powers granted to him by the Constitution when he made the request.,entailment,neutral
This majestic room is used for modern-day entertaining when the queen hosts dinners and banquets.,Dinners with the queen in the Royal Dining Room are much sought after invitations.,neutral,neutral
"Don't take it to heart, lad, he said kindly.",He was trying to console the lad.,entailment,entailment
